OBSERVATION DATE,OBSERVER ID
1/1/2010,obsr126130
1/1/2010,obsr241822
1/1/2010,obsr236715
1/1/2010,obsr229263
1/1/2010,obsr213941
1/1/2010,obsr143007
1/1/2010,obsr518304
1/1/2010,obsr94396
1/1/2010,obsr138595
1/1/2010,obsr217715
1/1/2010,obsr59869
1/1/2010,obsr497657
1/1/2010,obsr236983
1/1/2010,obsr18758
1/1/2010,obsr90360
1/1/2010,obsr205329
1/1/2010,obsr48856
1/1/2010,obsr224982
1/1/2010,obsr207942
1/1/2010,obsr252339
1/1/2010,obsr228535
1/1/2010,obsr309485
1/1/2010,obsr192859
1/1/2010,obsr202557
1/1/2010,obsr172476
1/1/2010,obsr227455
1/1/2010,obsr219693
1/1/2010,obsr163033
1/1/2010,obsr232200
1/1/2010,obsr349708
1/1/2010,obsr98119
1/1/2010,obsr204795
1/1/2010,obsr322370
1/1/2010,obsr160301
1/1/2010,obsr177950
1/1/2010,obsr325158
1/1/2010,obsr37713
1/1/2010,obsr162111
1/1/2010,obsr162754
1/1/2010,obsr191871
1/1/2010,obsr151108
1/1/2010,obsr194388
1/1/2010,obsr101818
1/1/2010,obsr203768
1/1/2010,obsr230649
1/1/2010,obsr234446
1/1/2010,obsr205846
1/1/2010,obsr189243
1/1/2010,obsr210269
1/1/2010,obsr143632
1/1/2010,obsr108909
1/1/2010,obsr174614
1/1/2010,obsr344464
1/1/2010,obsr202821
1/1/2010,obsr219437
1/1/2010,obsr90661
1/1/2010,obsr170158
1/1/2010,obsr195438
1/1/2010,obsr575898
1/1/2010,obsr211751
1/1/2010,obsr235477
1/1/2010,obsr235287
1/1/2010,obsr153076
1/1/2010,obsr290753
1/1/2010,obsr221141
1/1/2010,obsr208385
1/1/2010,obsr207744
1/1/2010,obsr144174
1/1/2010,obsr219364
1/1/2010,obsr37758
1/1/2010,obsr400115
1/1/2010,obsr29513
1/1/2010,obsr1066682
1/1/2010,obsr185008
1/1/2010,obsr224964
1/1/2010,obsr213540
